Mass,Teff,Teff_lb,Teff_ub
0.07,2324.7126590812964,2246.066501929754,2394.1386933515114
0.07100000000000001,2337.293516466996,2261.1736704119867,2404.616581853818
0.07200000000000001,2350.6633637599252,2275.9399208471777,2415.2934544519635
0.07300000000000001,2362.9124544318133,2290.9013130451403,2426.397205652156
0.07400000000000001,2375.323662889268,2305.712050482921,2436.935051200182
0.07500000000000001,2387.9865309576026,2320.588596233268,2447.9653952793888
0.07600000000000001,2399.9524871692547,2334.995792347963,2458.20348766488
0.07700000000000001,2412.8630660312824,2349.7421713873614,2469.240933252396
0.07800000000000001,2425.046115881768,2364.5347655589553,2479.9087243752656
0.07900000000000001,2437.464121784131,2378.1302203974883,2490.9516925819976
0.08000000000000002,2449.709198441569,2392.69100055144,2501.064893942079
0.08100000000000002,2461.9364144417523,2406.571750818614,2512.0812496782955
0.08200000000000002,2474.2363864999047,2420.1776586266737,2523.1110578342114
0.08229766542876583,2477.5620835007403,2424.3233763833437,2526.36925590411
0.083,2486.123226377712,2434.291859397668,2533.059728007541
0.084,2498.0964600958105,2447.9078993223243,2544.2060931047417
0.085,2509.9671595924037,2461.8067750663067,2554.8131833311577
0.08600000000000001,2521.9729945551653,2475.084301705604,2565.585459603816
0.08700000000000001,2533.709504604613,2488.475222871643,2576.135966406536
0.08800000000000001,2545.126676553066,2501.4400721523602,2587.0881235017446
0.08811479731439766,2546.420762140603,2502.896035905759,2588.0447933223218
0.08900000000000001,2556.6573274136963,2514.6335020934507,2597.7104307478594
0.08980164496364623,2566.0394017546023,2524.8883736780595,2606.758581761391
0.09000000000000001,2568.207830790405,2527.587801138856,2608.2407485455637
0.09100000000000001,2580.1736109656586,2540.13390848109,2619.4651622133933
0.09138426165976109,2584.292597639236,2544.903052714503,2623.2107416320255
0.09200000000000001,2591.483049623408,2553.4124858540026,2629.964675020391
0.09291457976248862,2601.8881245477014,2564.428982402964,2640.0485904242555
0.09300000000000001,2603.072992150392,2565.4247605029304,2640.5182850064875
0.09400000000000001,2614.3859020016725,2577.6501948984883,2651.4057821205165
0.09500000000000001,2625.8818675156763,2590.3882757950714,2661.9096848277413
0.09600000000000002,2637.1135273429186,2601.941614852167,2672.5791725571457
0.09700000000000002,2648.3559183365364,2614.0195831361693,2683.1667568574317
0.09800000000000002,2659.461919326146,2625.7917248818185,2693.9309370293167
0.09900000000000002,2670.4194272670343,2636.951762360915,2704.122668546978
0.1,2681.401115150333,2648.751638781398,2714.9801913971505
0.101,2692.414830786577,2660.0360892044982,2725.2279557697184
0.10200000000000001,2702.97686038209,2671.2671492837844,2735.5285267621202
0.10300000000000001,2713.53635775236,2682.383807387091,2746.1140303660736
0.10400000000000001,2724.0943110336248,2693.0321147162786,2756.5977610182035
0.10500000000000001,2734.668103204016,2703.66319270609,2766.693233857308
0.10600000000000001,2744.929952894533,2714.4242789209347,2777.2119441339178
0.10700000000000001,2755.824378394302,2724.7671791141242,2787.2466414141772
0.10800000000000001,2765.7675167318866,2735.0602678997343,2797.316481912404
0.10900000000000001,2775.8942622240647,2744.8608597854172,2807.576885615814
0.11000000000000001,2786.197198771754,2755.508380000409,2817.266389909007
0.11007472155582318,2786.5608927340027,2756.127162665207,2818.126541156493
0.11100000000000002,2796.2679874921905,2765.2205698965113,2827.170167341547
0.11200000000000002,2805.837587033943,2775.3412328510985,2837.269483528622
0.11300000000000002,2815.471084790231,2784.9299921931224,2847.2295444139704
0.11400000000000002,2825.099299844954,2794.740441068219,2856.84866847126
0.11500000000000002,2834.6937425038573,2803.9056480467025,2866.5110399157725
0.11600000000000002,2844.1244882357923,2813.498445338836,2876.271562972647
0.11700000000000002,2853.579470546897,2822.2030690074334,2885.4139367019457
0.11800000000000002,2862.617639018291,2831.7419747219283,2895.073524156535
0.11900000000000002,2871.865819901685,2840.830008607896,2904.0637077193387
0.12000000000000002,2880.9158259100345,2849.8555408436696,2913.292501475002
0.12100000000000002,2889.711108963854,2858.443400082445,2922.374296688025
0.12200000000000003,2898.421516060969,2867.110805436954,2931.3528862513667
0.12290698460103891,2906.341746679054,2875.1430333514613,2939.9220400306453
0.12300000000000003,2907.0901454328605,2875.8658896649977,2940.306984324969
0.12400000000000003,2915.5739480486545,2883.946266656733,2949.136770151417
0.12500000000000003,2924.151868183012,2892.790076948506,2957.527008894833
0.1251806565391655,2925.7981850661145,2894.461718399866,2959.1142471199187
0.12600000000000003,2932.5559004478478,2901.0421813035887,2966.1302996702543
0.12700000000000003,2941.015638846793,2909.1249484537652,2974.727067680686
0.12800000000000003,2949.0373694448945,2917.0286124539166,2983.002335955717
0.129,2957.250618579508,2925.076208505444,2990.880607811693
0.13,2965.110557053915,2933.268814016189,2999.1496204293867
0.131,2973.0378109950652,2940.8714994471256,3006.997010249915
0.132,2980.868632177317,2948.4908222856034,3014.9595401096412
0.133,2988.5817000087304,2956.5052991809243,3022.27769058211
0.134,2995.7703957885155,2963.825887626535,3030.7383728669165
0.135,3003.1183469261396,2971.0294613344804,3037.904633278241
0.136,3010.7155434940614,2978.3902728818653,3044.9672883315757
0.137,3017.7876316981738,2985.1179752859666,3052.381443863064
0.138,3025.048383675589,2992.625502780975,3059.440629483879
0.139,3031.8917772462164,2999.850964628629,3066.420384665262
0.14,3038.744353758889,3006.2333819850364,3073.375189095822
0.14100000000000001,3045.57075911635,3012.9543887885925,3079.8097570818536
0.14200000000000002,3052.262917303845,3019.769892137069,3086.182987470658
0.14300000000000002,3058.9835425100637,3026.6376331592446,3093.1851783885486
