name,SpT
HD 28568,F2V
HD 28033,F8V
HD 33262,F9V
HD 106516,F9V
HD 28205,G0V
HD 25825,G0V
HD 97334,G0V
HD 39587,G0V
HII 314,G1V
16 Cyg A,G1.5V
HD 72905,G1.5V
HD 129333,G1.5V
HD 199288,G2V
alpha Cen A,G2V
HD 59967,G3V
HD 20630,G5V
HD 43162,G6.5V
HD 131156,G8V
KIC 11560431,K0V
HD 166,K0V
HD 165341,K0V
HD 103095,K1V
HR 1925,K1V
HD 22468,K2V
HD 155886,K2V
LTT 2050,M1V
HD 197481,M1V
Kapteyn's Star,M1V
LP 415-1619,M2V
AD Leo,M4V
LHS-26,M4V
Procyon,F5V
EV Lac,M4V
YY Gem,M0.5V
