name,Fbol (1e-7),N V (1e-15),N V uncty,C II (1e-15),C II uncty,Si III (1e-15),Si III uncty,Si IV (1e-15),Si IV uncty,Feuv (1e-14)
HD 28568,0.6,23,5,120,4,82,8,65,5,189
HD 28033,0.3,,,4.8,0.9,1,3,7,2,
HD 33262,2.8,47,2,287,2,319,4,307,3,380
HD 106516,1.2,4,3,22,2,4,5,1,4,32.6
HD 28205,0.3,8,2,27,2,22,4,17,3,67.8
HD 25825,0.2,10.6,0.5,36.7,0.7,40.9,0.8,47,1,86.2
HD 97334,0.7,15,2,86,2,48,4,82,2,121
HD 39587,4.3,,,454,2,,,385,2,680
HII 314,0.02,2.24,0.08,6.8,0.1,3.70,0.9,4.8,0.1,18.2
16 Cyg A,1.1,,,17.7,0.2,10.8,0.2,8.3,0.2,
HD 72905,1.5,,,184,1,,,136,1,
HD 129333,0.3,,,124,1,,,106,1,
HD 199288,0.6,0.31,0.06,3.77,0.07,1.79,0.08,1.48,0.09,2.53
alpha Cen A,271,356,5,2690,8,1590,12,1220,7,2900
HD 59967,0.6,18,2,60,2,71,3,47,2,145
HD 20630,3.3,39,1,234,2,216,4,209,2,40
HD 43162,0.7,3,2,73,2,48,5,61,3,22.8
HD 131156,3.9,70,4,451,6,281,12,317,5,830
KIC 11560431,0.0002,4.6,1,16.4,0.2,5.7,0.1,6.9,0.1,37.0
HD 166,1.1,43,2,126,3,96,5,94,3,350
HD 165341,6.9,71,2,437,2,249,5,206,2,700
HD 103095,1.9,0.1,0.1,1.1,0.1,0.56,0.09,1.2,0.1,1.11
HR 1925,1.3,21,2,85,2,63,4,56,2,171
HD 22468,2.6,600,3,2550,5,1280,12,1200,4,4880
HD 155886,2.6,19,1,131,1,66,2,,,151
LTT 2050,0.06,1.7,0.1,2.0,0.2,0.58,0.09,1.4,0.2,13.6
HD 197481,0.2,70,1,206,2,788,2,864,1,720
Kapteyn's Star,0.3,0.2,0.1,0.9,0.1,0.8,0.1,0.9,0.3,1.98
LP 415-1619,0.006,,,2.97,0.07,0.77,0.04,,,
AD Leo,0.2,136,1,219,1,142,1,159,1,1100
LHS-26,0.08,,,,,,,,,
Procyon,170,1650,5,8720,9,4940,10,4160,20,3500
EV Lac,0.2,41,1,51,10,35,2,39,1,450
YY Gem,0.1,41.7,0.7,223,1,34,1,82,1,339
