name,Fbol (1e-7),N V (1e-15),N V uncty,C II (1e-15),C II uncty,Si III (1e-15),Si III uncty,Si IV (1e-15),Si IV uncty,Feuv (1e-14)
HD 3651,1.4,3.8,0.2,33.6,0.6,13.3,0.3,16.5,0.5,31.1
HD 128621,110.8,408,2,2572,3,1268,4,1026,2,3320
HD 114783,0.3,0.9,0.1,7.7,0.3,2.8,0.2,3.3,0.3,7.62
HD 97658,0.3,0.37,0.04,2.45,0.07,1.76,0.06,1.42,0.07,3.00
HD 40307,0.6,0.37,0.04,2.76,0.07,1.66,0.06,1.47,0.08,3.02
HD 192263,0.3,4.7,0.2,25.7,0.5,8.7,0.2,10.6,0.4,38.4
epsilon Eri,12.6,104,1,451,7,372,2,335,6,1200
HD 192310,1.7,4.9,0.2,41.0,0.7,14.5,0.3,14.6,0.5,39.4
HD 99492,0.4,1.8,0.2,10.4,0.3,3.6,0.2,5.3,0.4,15.0
HD 128311,0.3,8.5,0.3,41.1,0.6,14.0,0.3,18.0,0.5,68.8
HD 104067,0.3,3.0,0.2,14.9,0.4,5.1,0.2,7.4,0.4,24.5
HD 156668,0.1,0.4,0.1,2.7,0.2,1.1,0.1,1.3,0.3,3.00
HAT P 11,0.06,,,4.66,0.09,1.17,0.04,,,
WASP 69,0.04,0.57,0.02,2.59,0.03,1.26,0.2,,,4.64
HD 85512,0.5,0.69,0.05,3.96,0.08,1.72,0.06,1.82,0.09,5.59
GJ 832,1.0,3.51,0.08,3.78,0.08,2.55,0.06,3.33,0.09,28.5
GJ 667 C,0.3,0.72,0.05,0.65,0.05,0.51,0.04,0.83,0.07,5.82
GJ 3470,0.02,3.0,0.5,,,3.0,0.9,,,24.4
GJ 176,0.09,3.10,0.08,5.4,0.1,2.15,0.06,2.30,0.09,25.2
GJ 436,0.08,0.96,0.05,1.09,0.06,0.52,0.04,0.68,0.07,7.77
GJ 1214,0.008,0.18,0.04,0.09,0.03,0.08,0.03,0.05,0.04,1.50
GJ 876,0.2,10.7,0.1,10.6,0.1,8.1,0.1,8.4,0.1,87.0
GJ 581,0.2,0.53,0.04,0.48,0.04,0.29,0.04,0.44,0.07,4.34
Proxima Centauri,0.29,38.7,0.6,36.1,0.4,12.6,0.9,22.2,0.5,150
